                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2146,                 3.9296,                 1.5588,                0.01383,                0.65948,                0.05685,                0.03542,                 1.1748,                 4.4536,                 1.6724,                  0.073,                  0.003,                  0.003
                      1,                 1.1993,                 3.7112,                 1.5227,                0.00516,                0.74827,                0.12059,                0.06266,                 1.3154,                 4.3763,                 1.7985,                0.04506,              0.0060597,              0.0060597
                      2,                 1.2788,                 3.2739,                 1.5637,                0.80957,                0.15159,                0.22295,                0.12085,                 1.6107,                 3.9567,                 2.1123,               0.017079,              0.0090786,              0.0090786
                      3,                 1.3203,                 2.9792,                 1.6172,                0.39481,                0.15785,                0.15768,                0.09683,                 2.1258,                 4.3409,                 2.7069,               0.009802,               0.009802,               0.009802
                      4,                 1.3883,                 2.8958,                 1.6705,                0.35047,                0.25754,                0.16756,                0.07683,                 2.1813,                 5.6338,                 2.7443,               0.009802,               0.009802,               0.009802
                      5,                 1.4236,                 2.8624,                  1.685,                0.32729,                0.26698,                0.19102,                0.10008,                 1.9009,                 6.4175,                 2.4413,               0.009736,               0.009736,               0.009736
                      6,                 1.5005,                 2.7766,                 1.7558,                0.29923,                0.28798,                0.19299,                0.10377,                 1.8816,                 5.4346,                 2.4853,                0.00967,                0.00967,                0.00967
                      7,                  1.449,                 2.7118,                 1.6741,                 0.3047,                0.41703,                0.27766,                0.16572,                 1.5576,                 4.4045,                 2.1182,               0.009604,               0.009604,               0.009604
                      8,                 1.4246,                 2.6137,                 1.6501,                0.30202,                0.32405,                0.23504,                0.12805,                 1.8051,                 4.8156,                 2.3705,               0.009538,               0.009538,               0.009538
                      9,                 1.3558,                 2.5155,                 1.6322,                0.49283,                0.19398,                0.24919,                0.12195,                 1.7748,                 3.7847,                  2.301,               0.009472,               0.009472,               0.009472
                     10,                 1.3856,                 2.4524,                 1.6478,                0.47705,                0.26709,                0.30695,                0.17492,                 1.6311,                 3.9941,                 2.1526,               0.009406,               0.009406,               0.009406
                     11,                  1.298,                 2.3679,                 1.5788,                0.24343,                0.33376,                0.19101,                0.09923,                 1.6794,                 4.0321,                  2.281,                0.00934,                0.00934,                0.00934
                     12,                 1.3077,                 2.3085,                 1.5909,                0.33772,                0.42995,                0.37159,                0.20355,                 1.5389,                 3.8802,                 2.1371,               0.009274,               0.009274,               0.009274
                     13,                 1.3307,                 2.2172,                 1.5894,                0.66079,                0.37164,                0.42188,                0.25938,                 1.5845,                 3.3424,                 2.0968,               0.009208,               0.009208,               0.009208
                     14,                 1.3495,                 2.2247,                 1.5962,                0.57186,                0.41634,                0.39651,                0.21489,                 1.7157,                 3.3333,                 2.3003,               0.009142,               0.009142,               0.009142
                     15,                 1.2815,                 2.2052,                 1.5709,                0.51569,                0.40547,                0.45796,                0.25552,                 1.6382,                 3.1307,                 2.2056,               0.009076,               0.009076,               0.009076
                     16,                 1.2838,                 2.1474,                 1.5719,                0.44761,                 0.4588,                0.43897,                0.25883,                 1.5455,                 2.8673,                 2.0474,                0.00901,                0.00901,                0.00901
                     17,                 1.3102,                 2.0895,                 1.5797,                 0.4563,                0.44369,                0.51364,                0.29138,                 1.6299,                 3.5201,                 2.0873,               0.008944,               0.008944,               0.008944
                     18,                 1.2435,                 1.9884,                 1.5317,                0.60185,                 0.4189,                0.41951,                 0.2261,                 1.7871,                 3.1789,                 2.3646,               0.008878,               0.008878,               0.008878
                     19,                 1.2542,                 1.9965,                 1.5375,                0.62021,                0.46113,                0.52098,                0.32889,                  1.587,                  2.603,                 2.1002,               0.008812,               0.008812,               0.008812
                     20,                 1.1902,                 1.9448,                 1.5074,                 0.7505,                0.44527,                0.53981,                0.32089,                 1.5768,                 2.5639,                 2.0729,               0.008746,               0.008746,               0.008746
                     21,                 1.2424,                 1.8999,                 1.5213,                0.58937,                0.57488,                0.54521,                0.31269,                 1.5998,                 2.3893,                 2.1034,                0.00868,                0.00868,                0.00868
                     22,                 1.2146,                 1.8527,                 1.5039,                0.49689,                0.46674,                0.52205,                0.29765,                 1.5508,                 2.6993,                 1.9571,               0.008614,               0.008614,               0.008614
                     23,                 1.1797,                 1.8576,                 1.4971,                0.58132,                0.53898,                 0.5685,                  0.368,                 1.3901,                 2.2534,                 1.8909,               0.008548,               0.008548,               0.008548
                     24,                 1.2548,                 1.8208,                 1.5204,                0.56998,                0.54161,                0.51093,                0.32496,                 1.4993,                 2.3698,                 1.9759,               0.008482,               0.008482,               0.008482
                     25,                 1.2035,                 1.7894,                 1.4762,                0.60808,                0.39513,                0.45457,                0.28074,                 1.5344,                 2.7809,                 2.0226,               0.008416,               0.008416,               0.008416
                     26,                 1.1741,                 1.7272,                 1.4648,                 0.4917,                0.47487,                0.48612,                0.30702,                 1.3878,                 2.3815,                 1.8366,                0.00835,                0.00835,                0.00835
                     27,                 1.1804,                 1.7058,                 1.4757,                 0.6864,                 0.5208,                0.59456,                0.36314,                 1.3927,                 2.2698,                 1.9038,               0.008284,               0.008284,               0.008284
                     28,                 1.1916,                 1.6971,                 1.4826,                0.57102,                0.61287,                0.60194,                0.37701,                 1.4925,                 2.1467,                 1.8917,               0.008218,               0.008218,               0.008218
                     29,                 1.1317,                 1.6411,                  1.432,                0.57367,                0.55273,                0.55671,                0.36607,                 1.4265,                 3.0846,                 1.9651,               0.008152,               0.008152,               0.008152
                     30,                 1.2038,                 1.6311,                 1.4846,                0.67859,                0.59882,                 0.6482,                0.43818,                 1.3338,                 2.0757,                 1.7947,               0.008086,               0.008086,               0.008086
                     31,                 1.1633,                 1.5887,                 1.4516,                0.72879,                0.54479,                0.61566,                0.38128,                 1.4329,                 2.0236,                 1.8934,                0.00802,                0.00802,                0.00802
                     32,                  1.164,                 1.5787,                 1.4374,                 0.5902,                0.58172,                0.63853,                0.39533,                  1.409,                 1.9218,                 1.8553,               0.007954,               0.007954,               0.007954
                     33,                 1.1503,                 1.5858,                 1.4589,                0.50967,                 0.5753,                0.57939,                0.35844,                 1.3818,                 2.0144,                 1.8273,               0.007888,               0.007888,               0.007888
                     34,                 1.1128,                 1.4678,                 1.4336,                0.74437,                0.55052,                0.65688,                0.40796,                 1.4489,                 1.9859,                 1.9078,               0.007822,               0.007822,               0.007822
                     35,                 1.1232,                 1.5366,                 1.4299,                0.82995,                0.52386,                0.63751,                 0.3949,                 1.5004,                 2.0348,                 1.9637,               0.007756,               0.007756,               0.007756
                     36,                 1.1757,                 1.4968,                   1.45,                0.62586,                 0.5308,                0.60018,                0.37322,                 1.4231,                  2.102,                 1.8763,                0.00769,                0.00769,                0.00769
                     37,                 1.1191,                 1.4967,                 1.4151,                0.70318,                 0.5055,                0.60862,                0.37781,                 1.4682,                 2.0292,                 1.9336,               0.007624,               0.007624,               0.007624
                     38,                 1.0914,                 1.4418,                 1.4116,                0.70078,                0.60183,                0.65588,                0.42722,                 1.4181,                 1.8607,                 1.8792,               0.007558,               0.007558,               0.007558
                     39,                 1.1001,                 1.4627,                 1.4208,                0.59557,                0.66013,                0.64656,                0.43681,                 1.3095,                 1.8489,                 1.7429,               0.007492,               0.007492,               0.007492
